"FECHA_SEMANA","TIENDAS.ABIERTAS","GRPs","UNIDADES","PRECIO"
2016-11-07,1193.04081632653,0,1123596,"3.99"
2016-11-14,1099.17346938776,0,1061919,"3.99"
2016-11-21,1080.58163265306,0,1028920,"3.99"
2016-11-28,1127.15306122449,0,NA,"3.99"
2016-12-05,831.836734693878,0,960443,"3.99"
2016-12-12,1173.72448979592,0,1076463,"3.99"
2016-12-19,1176.34693877551,0,1031567,"3.99"
2016-12-26,1075.73469387755,0,1000945,"3.99"
2017-01-02,944.795918367347,0,930972,"3.99"
2017-01-09,1153.23469387755,0,1039957,"3.99"
2017-01-16,1146.28571428571,0,998748,"3.99"
2017-01-23,1183.34693877551,319.9,1217737,"3.99"
2017-01-30,1166.31632653061,298.079,1240179,"3.99"
2017-02-06,1173.52040816327,0,NA,"3.99"
2017-02-13,1158.5612244898,0,1209518,"3.99"
2017-02-20,1157.25510204082,0,1209438,"3.99"
2017-02-27,1123.15306122449,0,1213039,"3.99"
2017-03-06,1198.79591836735,0,1271527,"3.99"
2017-03-13,1212.29591836735,0,1242007,"3.99"
2017-03-20,1147.40816326531,0,1195761,"3.99"
2017-03-27,1170.91836734694,0,1247665,"3.99"
2017-04-03,1187.69387755102,0,1235717,"3.99"
2017-04-10,831.571428571429,0,1073534,"3.99"
2017-04-17,1099.62244897959,0,1170238,"3.99"
2017-04-24,1167.98979591837,0,1248099,"3.99"
2017-05-01,1067.76530612245,0,1182983,"3.99"
2017-05-08,1157.09183673469,0,1235238,"3.99"
2017-05-15,1118.88775510204,0,1174880,"3.99"
2017-05-22,1139.31632653061,0,1184009,"3.99"
2017-05-29,1122.10204081633,373.273999999999,1479259,"3.99"
2017-06-05,1121.15306122449,293.268,1320568,"3.99"
2017-06-12,1129.83673469388,0,1297819,"3.99"
2017-06-19,1100.74489795918,0,1232480,"3.99"
2017-06-26,1083.01020408163,0,1312029,"3.99"
2017-07-03,1081.39795918367,0,1329949,"3.99"
2017-07-10,1077.4693877551,0,1333580,"3.99"
2017-07-17,1082.34693877551,0,1305772,"3.99"
2017-07-24,1088.78571428571,0,1334400,"3.99"
2017-07-31,1130.77551020408,0,1370443,"3.99"
2017-08-07,1155.0306122449,0,1371989,"3.99"
2017-08-14,896.755102040816,0,1224590,"3.99"
2017-08-21,951.15306122449,0,1268607,"3.99"
2017-08-28,971.642857142857,0,1324011,"3.99"
2017-09-04,1001.88775510204,0,1318398,"3.99"
2017-09-11,1042.87755102041,0,1330605,"3.99"
2017-09-18,1092.66326530612,0,1338656,"3.99"
2017-09-25,1109.37755102041,0,1384345,"3.99"
2017-10-02,1108.61224489796,0,1410046,"3.99"
2017-10-09,947.530612244898,0,1344935,"3.99"
2017-10-16,1131.0306122449,0,1377513,"3.99"
2017-10-23,1158.41836734694,0,1443344,"3.99"
2017-10-30,1032.4387755102,0,1420309,"3.99"
2017-11-06,1230.12244897959,0,1490796,"3.99"
2017-11-13,1122.0612244898,0,1441990,"3.99"
2017-11-20,1102.26530612245,0,1410597,"3.99"
2017-11-27,1122.04081632653,0,1495184,"3.99"
2017-12-04,828.795918367347,0,1359987,"3.99"
2017-12-11,1146.16326530612,0,1490321,"3.99"
2017-12-18,1188.90816326531,0,1585860,"3.99"
2017-12-25,1038.92857142857,0,1443933,"3.99"
2018-01-01,937.234693877551,0,1276376,"3.99"
2018-01-08,1169.15306122449,0,1494513,"3.99"
2018-01-15,1204.27551020408,0,1493534,"3.99"
2018-01-22,1199.67346938776,0,1491897,"3.99"
2018-01-29,1213.55102040816,0,1525250,"3.99"
2018-02-05,1205.62244897959,0,1519148,"3.99"
2018-02-12,1175.31632653061,0,1515401,"3.99"
2018-02-19,1196.4693877551,0,1511457,"3.99"
2018-02-26,1176.31632653061,0,1531955,"3.99"
2018-03-05,1242.61224489796,0,1608646,"3.99"
2018-03-12,1267.76530612245,0,1619055,"3.99"
2018-03-19,1182.80612244898,0,1567158,"3.99"
2018-03-26,858.020408163265,0,1458508,"3.99"
2018-04-02,1105.98979591837,0,1586747,"3.99"
2018-04-09,1196.29591836735,0,1614397,"3.99"
2018-04-16,1219.19387755102,0,1629431,"3.99"
2018-04-23,1229.12244897959,0,1687905,"3.99"
2018-04-30,1073.55102040816,0,1629977,"3.99"
2018-05-07,1189.32653061225,0,1693799,"3.99"
2018-05-14,1147.78571428571,0,1657087,"3.99"
2018-05-21,1155.31632653061,0,1663055,"3.99"
2018-05-28,1166.29591836735,0,1699457,"3.99"
2018-06-04,1188.29591836735,0,1723041,"3.99"
2018-06-11,1182.24489795918,0,1693434,"3.99"
2018-06-18,1176.09183673469,0,1633603,"3.99"
2018-06-25,1149.62244897959,0,1741334,"3.99"
2018-07-02,1130.98979591837,0,1722414,"3.99"
2018-07-09,1125.37755102041,0,1725886,"3.99"
2018-07-16,1113.44897959184,0,1690475,"3.99"
2018-07-23,1119.9693877551,0,1738300,"3.99"
2018-07-30,1142.30612244898,0,1784944,"3.99"
2018-08-06,1179.82653061224,0,1786036,"3.99"
2018-08-13,975.234693877551,0,1662810,"3.99"
2018-08-20,1007.86734693878,0,1666581,"3.99"
2018-08-27,1029.79591836735,0,1741255,"3.99"
2018-09-03,1063.67346938776,0,1782073,"3.99"
2018-09-10,1081.58163265306,301.4834,2017037,"3.99"
2018-09-17,1144.13265306122,285.242,1986917,"3.99"
2018-09-24,1147.71428571429,0,1904234,"3.99"
2018-10-01,1156.12244897959,0,1934098,"3.99"
2018-10-08,954.040816326531,321.8,2016317,"3.99"
2018-10-15,1153.5306122449,346.922315,1992673,"3.99"
2018-10-22,1170.63265306122,0,1968972,"3.99"
2018-10-29,1059.4387755102,0,1885391,"3.99"
2018-11-05,1261.73469387755,0,2010554,"3.99"
2018-11-12,1160.39795918367,0,1913011,"3.99"
2018-11-19,1131.30612244898,0,1857721,"3.99"
2018-11-26,1148.91836734694,0,2096031,"3.99"
2018-12-03,939.938775510204,0,1942606,"3.99"
2018-12-10,1178.39795918367,0,2084303,"3.99"
2018-12-17,1219.57142857143,0,2129690,"3.99"
2018-12-24,1029.9693877551,0,2028133,"3.99"
2018-12-31,1009.9387755102,0,1881571,"3.99"
2019-01-07,1121.60204081633,0,2010654,"4.99"
2019-01-14,1214.71428571429,0,1999495,"4.99"
2019-01-21,1195.32653061224,0,1987817,"4.99"
2019-01-28,1207.38775510204,0,2074983,"4.99"
2019-02-04,1202.66326530612,0,2112471,"4.99"
2019-02-11,1187.19387755102,0,2059583,"4.99"
2019-02-18,1194.19387755102,0,2008333,"4.99"
2019-02-25,1173.94897959184,0,2148226,"4.99"
2019-03-04,1229.84693877551,0,2201796,"4.99"
2019-03-11,1276.9387755102,0,2241575,"4.99"
2019-03-18,1200.23469387755,219.86,2548951,"4.99"
2019-03-25,1206.92857142857,191.74,2429073,"4.99"
2019-04-01,1217.48979591837,0,2333790,"4.99"
2019-04-08,1218.27551020408,0,2235591,"4.99"
2019-04-15,908.285714285714,0,1981218,"4.99"
2019-04-22,1159.15306122449,0,2295424,"4.99"
2019-04-29,1099.88775510204,0,2347771,"4.99"
2019-05-06,1205.95918367347,0,2476574,"4.99"
